rules used, difficulty, backtracks
1,easy,0
1,medium,0
1,hard,1
1,evil,1
1,easy,0
1,easy,0
1,easy,0
1,medium,2
1,evil,0
1,medium,1
1,hard,10
1,hard,19
1,hard,6
1,evil,7
1,evil,14
1,evil,0
1,easy,0
1,easy,0
1,easy,0
1,easy,0
1,medium,4
1,medium,0
1,medium,1
1,medium,14
1,evil,0
1,hard,5
1,evil,65
1,evil,54
1,easy,0
1,easy,0
1,medium,2
1,hard,96
1,hard,1
1,evil,145
1,medium,0
1,medium,0
1,hard,0
1,hard,1
1,evil,44
1,evil,4
1,easy,0
1,easy,0
1,easy,0
1,easy,0
1,medium,0
1,medium,0
1,hard,1
1,evil,3
1,easy,0
1,easy,0
1,evil,1
1,evil,35
1,hard,17
1,medium,1
1,easy,0
1,medium,1
1,medium,1
1,hard,1
1,hard,6
1,evil,102
1,easy,0
1,easy,0
1,medium,1
1,medium,1
1,hard,9
1,hard,30
1,easy,0
1,easy,0
1,easy,0
1,easy,1
1,medium,9
1,medium,78
1,medium,3
1,medium,78
1,hard,16
1,hard,0
1,hard,41
2,easy,0
2,medium,0
2,hard,0
2,evil,1
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,evil,0
2,medium,3
2,hard,0
2,hard,4
2,hard,4
2,evil,0
2,evil,9
2,evil,0
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,1
2,medium,0
2,medium,0
2,medium,7
2,evil,0
2,hard,2
2,evil,49
2,evil,12
2,easy,0
2,easy,0
2,medium,1
2,hard,13
2,hard,0
2,evil,37
2,medium,0
2,medium,0
2,hard,5
2,hard,1
2,evil,12
2,evil,1
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,medium,0
2,hard,1
2,evil,1
2,easy,0
2,easy,0
2,evil,1
2,evil,1
2,hard,0
2,medium,0
2,easy,0
2,medium,3
2,medium,1
2,hard,1
2,hard,1
2,evil,0
2,easy,0
2,easy,0
2,medium,0
2,medium,1
2,hard,1
2,hard,8
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,medium,1
2,medium,0
2,medium,1
2,hard,15
2,hard,8
2,hard,2
3,easy,0
3,medium,0
3,hard,0
3,evil,1
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,evil,0
3,medium,0
3,hard,0
3,hard,0
3,hard,1
3,evil,0
3,evil,0
3,evil,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,medium,0
3,medium,0
3,evil,0
3,hard,1
3,evil,1
3,evil,3
3,easy,0
3,easy,0
3,medium,0
3,hard,9
3,hard,0
3,evil,0
3,medium,0
3,medium,0
3,hard,0
3,hard,0
3,evil,0
3,evil,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,hard,0
3,evil,0
3,easy,0
3,easy,0
3,evil,3
3,evil,0
3,hard,0
3,medium,0
3,easy,0
3,medium,0
3,medium,1
3,hard,0
3,hard,0
3,evil,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,hard,0
3,hard,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,medium,0
3,medium,0
3,hard,3
3,hard,9
3,hard,1
4,easy,0
4,medium,0
4,hard,0
4,evil,1
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,evil,0
4,medium,0
4,hard,0
4,hard,0
4,hard,1
4,evil,0
4,evil,0
4,evil,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,medium,0
4,medium,0
4,evil,0
4,hard,1
4,evil,1
4,evil,3
4,easy,0
4,easy,0
4,medium,0
4,hard,7
4,hard,0
4,evil,0
4,medium,0
4,medium,0
4,hard,0
4,hard,0
4,evil,0
4,evil,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,hard,0
4,evil,0
4,easy,0
4,easy,0
4,evil,3
4,evil,0
4,hard,0
4,medium,0
4,easy,0
4,medium,0
4,medium,1
4,hard,0
4,hard,0
4,evil,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,hard,0
4,hard,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,medium,0
4,medium,0
4,hard,3
4,hard,7
4,hard,1
