rules used, difficulty, backtracks
1,easy,0
1,medium,0
1,hard,0
1,evil,0
1,easy,0
1,easy,0
1,easy,0
1,medium,0
1,evil,0
1,medium,0
1,hard,0
1,hard,0
1,hard,160
1,evil,0
1,evil,0
1,evil,0
1,easy,0
1,easy,0
1,easy,0
1,easy,0
1,medium,0
1,medium,0
1,medium,0
1,medium,0
1,evil,0
1,hard,202
1,evil,14
1,evil,1
1,easy,0
1,easy,0
1,medium,0
1,hard,163
1,hard,0
1,evil,14
1,medium,0
1,medium,0
1,hard,0
1,hard,0
1,evil,0
1,evil,0
1,easy,0
1,easy,0
1,easy,0
1,easy,0
1,medium,0
1,medium,0
1,hard,0
1,evil,32
1,easy,0
1,easy,0
1,evil,5
1,evil,0
1,hard,0
1,medium,0
1,easy,0
1,medium,0
1,medium,0
1,hard,0
1,hard,0
1,evil,10
1,easy,0
1,easy,0
1,medium,0
1,medium,0
1,hard,0
1,hard,0
1,easy,0
1,easy,0
1,easy,0
1,easy,0
1,medium,0
1,medium,0
1,medium,0
1,medium,0
1,hard,60
1,hard,21
1,hard,17
2,easy,0
2,medium,0
2,hard,0
2,evil,7
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,evil,0
2,medium,0
2,hard,0
2,hard,0
2,hard,7
2,evil,6
2,evil,1
2,evil,0
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,medium,0
2,medium,0
2,medium,0
2,evil,0
2,hard,32
2,evil,9
2,evil,0
2,easy,0
2,easy,0
2,medium,0
2,hard,15
2,hard,0
2,evil,5
2,medium,0
2,medium,0
2,hard,0
2,hard,0
2,evil,0
2,evil,0
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,medium,0
2,hard,0
2,evil,1
2,easy,0
2,easy,0
2,evil,5
2,evil,0
2,hard,0
2,medium,0
2,easy,0
2,medium,0
2,medium,0
2,hard,0
2,hard,0
2,evil,9
2,easy,0
2,easy,0
2,medium,0
2,medium,0
2,hard,0
2,hard,0
2,easy,0
2,easy,0
2,easy,0
2,easy,0
2,medium,0
2,medium,0
2,medium,0
2,medium,0
2,hard,12
2,hard,4
2,hard,9
3,easy,0
3,medium,0
3,hard,0
3,evil,1
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,evil,0
3,medium,0
3,hard,0
3,hard,0
3,hard,3
3,evil,15
3,evil,0
3,evil,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,medium,0
3,medium,0
3,evil,0
3,hard,9
3,evil,2
3,evil,1
3,easy,0
3,easy,0
3,medium,0
3,hard,0
3,hard,0
3,evil,1
3,medium,0
3,medium,0
3,hard,0
3,hard,0
3,evil,0
3,evil,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,hard,0
3,evil,2
3,easy,0
3,easy,0
3,evil,5
3,evil,0
3,hard,0
3,medium,0
3,easy,0
3,medium,0
3,medium,1
3,hard,0
3,hard,0
3,evil,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,hard,0
3,hard,0
3,easy,0
3,easy,0
3,easy,0
3,easy,0
3,medium,0
3,medium,0
3,medium,0
3,medium,0
3,hard,2
3,hard,9
3,hard,7
4,easy,0
4,medium,0
4,hard,0
4,evil,2
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,evil,0
4,medium,0
4,hard,0
4,hard,0
4,hard,9
4,evil,0
4,evil,0
4,evil,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,medium,0
4,medium,0
4,evil,0
4,hard,8
4,evil,0
4,evil,0
4,easy,0
4,easy,0
4,medium,0
4,hard,3
4,hard,0
4,evil,1
4,medium,0
4,medium,0
4,hard,0
4,hard,0
4,evil,0
4,evil,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,hard,0
4,evil,0
4,easy,0
4,easy,0
4,evil,0
4,evil,0
4,hard,0
4,medium,0
4,easy,0
4,medium,0
4,medium,0
4,hard,0
4,hard,0
4,evil,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,hard,0
4,hard,0
4,easy,0
4,easy,0
4,easy,0
4,easy,0
4,medium,0
4,medium,0
4,medium,0
4,medium,0
4,hard,4
4,hard,1
4,hard,6
